Collection: inframe | Hidden: false | Group: inframe_pasta
Collection: inframe_pasta | Hidden: true | Group: none
Collection: inframe_translations | Hidden: true | Group: inframe_pasta
Collection: languages | Hidden: false | Group: inframe_pasta
Collection: directus_access | Hidden: false | Group: none
Collection: directus_activity | Hidden: false | Group: none
Collection: directus_collections | Hidden: false | Group: none
Collection: directus_comments | Hidden: false | Group: none
Collection: directus_fields | Hidden: false | Group: none
Collection: directus_files | Hidden: false | Group: none
Collection: directus_folders | Hidden: false | Group: none
Collection: directus_migrations | Hidden: false | Group: none
Collection: directus_permissions | Hidden: false | Group: none
Collection: directus_policies | Hidden: false | Group: none
Collection: directus_presets | Hidden: false | Group: none
Collection: directus_relations | Hidden: false | Group: none
Collection: directus_revisions | Hidden: false | Group: none
Collection: directus_roles | Hidden: false | Group: none
Collection: directus_sessions | Hidden: false | Group: none
Collection: directus_settings | Hidden: false | Group: none
Collection: directus_users | Hidden: false | Group: none
Collection: directus_webhooks | Hidden: false | Group: none
Collection: directus_dashboards | Hidden: false | Group: none
Collection: directus_panels | Hidden: false | Group: none
Collection: directus_notifications | Hidden: false | Group: none
Collection: directus_shares | Hidden: false | Group: none
Collection: directus_flows | Hidden: false | Group: none
Collection: directus_operations | Hidden: false | Group: none
Collection: directus_translations | Hidden: false | Group: none
Collection: directus_versions | Hidden: false | Group: none
Collection: directus_extensions | Hidden: false | Group: none
